REGION	UNIT	DATE	INCIDENT NUMBER	ACRES	FIRE NAME	CAUSE	LAT	LONG
Three	San Luis Obispo	5/18/2009	3640	1	STOCKDALE	Campfire	35.6831	-120.6969
Three	San Luis Obispo	5/18/2009	113	0.1		Undetermined	35.6831	-120.6969
Three	San Luis Obispo	5/22/2009	117	0.1		Campfire	35.7089	-120.695
Three	San Luis Obispo	5/23/2009	378	0.1		Undetermined	35.4269	-120.6331
Three	San Luis Obispo	5/24/2009	3823	0.1	NACIMIENTO RESORT ENTRANC	Undetermined	35.7531	-120.8911
Three	San Luis Obispo	5/27/2009	3880	0.1	ATASCADERO RD  SLO_CO	Undetermined	35.39	-120.8389
Three	San Luis Obispo	5/30/2009	3978	3	GUN	Undetermined	35.44	-120.6281
Three	San Luis Obispo	5/31/2009	3995	0.3	ROCKY	Undetermined	35.47	-120.6239
Three	San Luis Obispo	6/5/2009	4125	1	S SOUTH BAY BLVD / TURRI	Campfire	35.3369	-120.8231
Three	San Luis Obispo	6/6/2009	4141	0.1	VIEJO CAMINO   SLO_CO	Undetermined	35.4431	-120.6289
Three	San Luis Obispo	6/7/2009	4197	0.1	CARMEL	Campfire	35.4281	-120.6189
Three	San Luis Obispo	6/9/2009	4229	0.3	RIO	Undetermined	35.0911	-120.5781
Three	San Luis Obispo	6/12/2009	4299	0.1	CIELO LN  SLO_CO	Undetermined	35.015	-120.4819
Three	San Luis Obispo	6/12/2009	4296	0.1	Fire Wildland	Campfire	35.2761	-120.6419
Three	San Luis Obispo	6/13/2009	4352	0.1	NANCY AVE / HENRIETTA AVE	Undetermined	35.3169	-120.85
Three	San Luis Obispo	6/15/2009	4392	1	TYRUS CT  SLO_CO	Playing With Fire	35.0269	-120.5
Three	San Luis Obispo	6/16/2009	4423	0.5	TWITCHELL	Campfire	35.0161	-120.3561
Three	San Luis Obispo	6/17/2009	4457	0.1	CAMINO	Campfire	35.0111	-120.51
Three	San Luis Obispo	6/17/2009	4454	0.1	HIDDEN	Campfire	35.5419	-120.7631
Three	San Luis Obispo	6/19/2009	38	0.1		Undetermined	35.1431	-120.5461
Three	San Luis Obispo	6/20/2009	4533	1	COUNTY	Undetermined	35.7789	-120.195
Three	San Luis Obispo	6/21/2009	4561	0.1	FERRELL AVE / LOS OSOS VA	Undetermined	35.3111	-120.8331
Three	San Luis Obispo	6/21/2009	4587	0.1	DIVISION ST / MEREDITH AV	Undetermined	35.0281	-120.4811
Three	San Luis Obispo	6/23/2009	4635	0.1	PICO CREEK SLO_CO	Undetermined	35.6261	-121.1581
Three	San Luis Obispo	6/23/2009	4614	0.3	ESTRELLA	Undetermined	35.655	-120.5111
Three	San Luis Obispo	6/24/2009	4659	2	GAGE IRVING RD / RUNNING	Campfire	35.7	-120.9669
Three	San Luis Obispo	6/27/2009	145	0.1		Undetermined	35.5881	-120.715
Three	San Luis Obispo	6/27/2009	4749	0.3	ARBOR	Undetermined	35.5989	-120.715
Three	San Luis Obispo	6/29/2009	4800	1	VF	Undetermined	35.6581	-120.6719
Three	San Luis Obispo	6/30/2009	4809	1	NACIMIENTO LAKE DR  SLO_C	Undetermined	35.6489	-120.72
Three	San Luis Obispo	7/1/2009	4857	0.3	N HWY 101  /N THOMPSON AV	Undetermined	35.0681	-120.5119
Three	San Luis Obispo	7/1/2009	4845	0.5	CHISPA	Campfire	35.4281	-120.6011
Three	San Luis Obispo	7/1/2009	4856	0.3	MARGARITA	Undetermined	35.385	-120.6289
Three	San Luis Obispo	7/1/2009	485	0.1		Undetermined	35.3461	-120.6289
Three	San Luis Obispo	7/4/2009	5011	0.1	DIEGO RIVERA LN / CALLEND	Undetermined	35.0539	-120.5819
Three	San Luis Obispo	7/5/2009	5040	3	DOVER	Railroad	35.5861	-120.83
Three	San Luis Obispo	7/6/2009	5073	0.3	N MALLAGH ST  NIP	Playing With Fire	35.0461	-120.4831
Three	San Luis Obispo	7/6/2009	5068	1	INTERLAKE RD  SLO_CO	Campfire	35.7781	-120.905
Three	San Luis Obispo	7/7/2009	5112	0.1	TEFFT	Playing With Fire	35.0331	-120.4919
Three	San Luis Obispo	7/7/2009	5104	0.1	MONTECITO	Undetermined	35.0281	-120.4789
Three	San Luis Obispo	7/7/2009	5105	1	CHOLAME	Campfire	35.7339	-120.2861
Three	San Luis Obispo	7/8/2009	5124	0.5	BARNES	Railroad	35.7111	-120.7039
Three	San Luis Obispo	7/11/2009	5240	0.5	OAK	Undetermined	35.135	-120.605
Three	San Luis Obispo	7/11/2009	79	0.1		Undetermined	35.1381	-120.6039
Three	San Luis Obispo	7/11/2009	473	0.1		Undetermined	35.0081	-120.4489
Three	San Luis Obispo	7/14/2009	5300	0.8	SUNNY	Undetermined	35.2719	-120.7081
